movie_id,genre_id
a-cure-for-wellness,6
a-cure-for-wellness,11
a-cure-for-wellness,7
a-dangerous-method,4
a-dangerous-method,6
a-dark-place,5
a-dark-place,6
a-day-without-a-mexican,4
a-day-without-a-mexican,5
a-day-without-a-mexican,11
a-day-without-a-mexican,8
a-decade-under-the-influence,15
a-decade-under-the-influence,1
a-decent-factory,1
a-dirty-shame,8
a-dogs-journey,10
a-dogs-journey,4
a-dogs-journey,11
a-dogs-journey,8
a-dogs-journey,12
a-dogs-purpose,10
a-dogs-purpose,4
a-dogs-purpose,11
a-dogs-purpose,8
a-dogs-purpose,12
a-dogs-way-home,10
a-dogs-way-home,4
a-dogs-way-home,12
a-faithful-man,4
a-faithful-man,8
a-faithful-man,9
a-fall-from-grace,6
a-family-affair,8
a-family-affair,9
a-family-affair-2016,1
a-family-man,4
a-fantastic-fear-of-everything,8
a-fantastic-woman,4
a-field-in-england,4
a-field-in-england,15
a-field-in-england,6
a-field-in-england,7
a-film-unfinished,4
a-film-unfinished,15
a-film-unfinished,1
a-five-star-life,4
a-foreign-affair,4
a-foreign-affair,8
a-foreign-affair,9
a-fragile-trust,17
a-fragile-trust,6
a-fragile-trust,1
a-fragile-trust,19
a-futile-and-stupid-gesture,17
a-futile-and-stupid-gesture,8
a-gay-girl-in-damascus-the-amina-profile,1
a-ghost-story,4
a-ghost-story,11
a-ghost-story,9
a-girl-like-her,4
a-girl-missing-2020,4
a-girl-walks-home-alone-at-night,6
a-girl-walks-home-alone-at-night,7
a-girl-walks-home-alone-at-night,9
a-glimpse-inside-the-mind-of-charles-swan-iii,8
a-glitch-in-the-matrix,1
a-good-baby,4
a-good-day-to-die-hard,2
a-good-day-to-die-hard,6
a-good-day-to-die-hard,13
a-good-old-fashioned-orgy,8
a-good-woman,4
a-good-woman,8
a-good-woman,9
a-good-woman-is-hard-to-find,6
a-good-woman-is-hard-to-find,13
a-good-year,4
a-good-year,8
a-good-year,9
a-gray-state,1
a-guide-to-recognizing-your-saints,4
a-guide-to-recognizing-your-saints,13
a-guy-thing,8
a-guy-thing,9
a-happening-of-monumental-proportions,8
a-hard-day,2
a-hard-day,6
a-hard-day,13
a-haunted-house,7
a-haunted-house,8
a-haunted-house-2,7
a-haunted-house-2,8
a-hidden-life,17
a-hidden-life,4
a-hidden-life,9
a-hidden-life,14
a-hijacking,4
a-hijacking,6
a-history-of-violence,4
a-history-of-violence,6
a-history-of-violence,13
a-hole-in-my-heart,4
a-hole-in-my-heart,7
a-hole-in-one,8
a-hologram-for-the-king,4
a-hologram-for-the-king,8
a-home-at-the-end-of-the-world,4
a-home-at-the-end-of-the-world,9
a-house-on-a-hill,4
a-housekeeper,4
a-housekeeper,8
a-housekeeper,9
a-jihad-for-love,1
a-journal-for-jordan,4
a-kid-like-jake,4
a-kid-like-jake,12
a-kind-of-murder,4
a-kind-of-murder,6
a-knights-tale,2
a-knights-tale,10
a-knights-tale,9
a-land-imagined,5
a-late-quartet,4
a-league-of-ordinary-gentlemen,16
a-league-of-ordinary-gentlemen,1
a-lego-brickumentary,1
a-letter-to-momo,4
a-letter-to-momo,11
a-letter-to-momo,22
a-letter-to-momo,12
a-letter-to-true,1
a-liars-autobiography---the-untrue-story-of-monty-pythons-graham-chapman,8
a-liars-autobiography---the-untrue-story-of-monty-pythons-graham-chapman,22
a-little-bit-of-heaven,4
a-little-bit-of-heaven,8
a-little-bit-of-heaven,9
a-little-chaos,4
a-little-chaos,8
a-little-chaos,9
a-little-help,4
a-little-help,8
a-long-way-down,4
a-long-way-down,8
a-lot-like-love,4
a-lot-like-love,8
a-lot-like-love,9
a-love-affair-of-sorts,4
a-love-divided,17
a-love-divided,9
a-love-song-for-bobby-long,4
a-man-apart,2
a-man-apart,4
a-man-apart,6
a-man-apart,13
a-man-called-ove,4
a-man-called-ove,8
a-man-named-pearl,1
a-mans-gotta-do,4
a-mans-gotta-do,8
a-mans-gotta-do,13
a-mans-story,1
a-master-builder,4
a-matter-of-taste,4
a-matter-of-taste,6
a-matter-of-taste,13
a-merry-friggin-christmas,8
a-midsummer-nights-dream-2018,11
a-midsummer-nights-dream-2018,8
a-mighty-heart,17
a-mighty-heart,4
a-mighty-heart,15
a-mighty-heart,6
a-mighty-heart,14
a-mighty-wind,8
a-mighty-wind,18
a-million-little-pieces,4
a-million-ways-to-die-in-the-west,8
a-million-ways-to-die-in-the-west,21
a-monster-calls,4
a-monster-calls,11
a-monster-with-a-thousand-heads,4
a-monster-with-a-thousand-heads,6
a-most-violent-year,2
a-most-violent-year,4
a-most-violent-year,6
a-most-violent-year,13
a-most-wanted-man,6
a-mouthful-of-air,4
a-murder-in-the-park,15
a-murder-in-the-park,13
a-murder-in-the-park,1
a-murder-in-the-park,19
a-night-in-old-mexico,4
a-night-in-old-mexico,21
a-nightmare-on-elm-street,5
a-nightmare-on-elm-street,6
a-nightmare-on-elm-street,7
a-perfect-day,4
a-perfect-getaway,4
a-perfect-getaway,5
a-perfect-getaway,6
a-piece-of-eden,4
a-piece-of-eden,8
a-pigeon-sat-on-a-branch-reflecting-on-existence,4
a-pigeon-sat-on-a-branch-reflecting-on-existence,8
a-place-at-the-table,1
a-poem-is-a-naked-person,18
a-poem-is-a-naked-person,1
a-prairie-home-companion,4
a-prairie-home-companion,8
a-prairie-home-companion,18
a-prairie-home-companion,18
a-prayer-before-dawn,2
a-prayer-before-dawn,17
a-prayer-before-dawn,4
a-prayer-before-dawn,16
a-prayer-before-dawn,13
a-previous-engagement,8
a-previous-engagement,9
a-private-war,17
a-private-war,4
a-private-war,14
a-promise,4
a-promise,9
a-prophet,4
a-prophet,13
a-quiet-passion,17
a-quiet-passion,4
a-quiet-place,3
a-quiet-place,4
a-quiet-place,6
a-quiet-place,7
a-quiet-place-part-ii,3
a-quiet-place-part-ii,4
a-quiet-place-part-ii,6
a-quiet-place-part-ii,7
a-rainy-day-in-new-york,8
a-rainy-day-in-new-york,9
a-real-young-girl,4
a-river-below,1
a-river-changes-course,4
a-river-changes-course,1
a-room-for-romeo-brass,4
a-room-for-romeo-brass,8
a-royal-affair,4
a-royal-affair,15
a-royal-affair,9
a-royal-night-out,4
a-royal-night-out,8
a-royal-night-out,9
a-rumor-of-angels,4
a-scanner-darkly,3
a-scanner-darkly,4
a-scanner-darkly,5
a-scanner-darkly,6
a-scanner-darkly,13
a-scanner-darkly,22
a-screaming-man,4
a-secret,4
a-secret,14
a-secret-love,1
a-separation,4
a-serious-man,4
a-shaun-the-sheep-movie-farmageddon,10
a-shaun-the-sheep-movie-farmageddon,3
a-shaun-the-sheep-movie-farmageddon,11
a-shaun-the-sheep-movie-farmageddon,8
a-shaun-the-sheep-movie-farmageddon,22
a-shaun-the-sheep-movie-farmageddon,12
a-short-history-of-decay,8
a-shot-at-glory,4
a-shot-at-glory,16
a-sidewalk-astronomer,1
a-silent-love,4
a-silent-love,8
a-silent-voice,4
a-silent-voice,9
a-silent-voice,22
a-simple-favor,4
a-simple-favor,5
a-simple-favor,6
a-simple-favor,8
a-simple-favor,13
a-simple-life,4
a-simple-noodle-story,4
a-single-man,4
a-single-shot,4
a-single-shot,6
a-single-shot,13
a-sinner-in-mecca,1
a-skin-so-soft,16
a-skin-so-soft,1
a-slipping-down-life,4
a-slipping-down-life,9
a-slipping-down-life,18
a-somewhat-gentle-man,4
a-somewhat-gentle-man,8
a-somewhat-gentle-man,13
a-song-for-martin,4
a-song-for-martin,9
a-song-for-martin,18
a-sound-of-thunder,2
a-sound-of-thunder,10
a-sound-of-thunder,3
a-sound-of-thunder,6
a-space-program,10
a-space-program,3
a-space-program,4
a-space-program,1
a-star-is-born,4
a-star-is-born,9
a-star-is-born,18
a-star-is-born,18
a-state-of-mind,1
a-street-cat-named-bob,17
a-street-cat-named-bob,4
a-street-cat-named-bob,8
a-street-cat-named-bob,12
a-tale-of-love-and-darkness,17
a-tale-of-love-and-darkness,4
a-tale-of-love-and-darkness,15
a-tale-of-two-sisters,4
a-tale-of-two-sisters,5
a-tale-of-two-sisters,6
a-tale-of-two-sisters,7
a-talking-picture,4
a-talking-picture,15
a-talking-picture,8
a-talking-picture,14
a-taxi-driver,2
