movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
spree,https://www.metacritic.com/movie/spree,Spree,"Thriller,Comedy",42,5.8,2020-08-14,0
spring,https://www.metacritic.com/movie/spring,Spring,"Sci-Fi,Horror,Romance",70,7.1,2015-03-20,0
spring-blossom,https://www.metacritic.com/movie/spring-blossom,Spring Blossom,"Drama,Comedy,Romance",68,,2021-05-21,0
spring-breakers,https://www.metacritic.com/movie/spring-breakers,Spring Breakers,"Drama,Thriller,Comedy,Crime",63,5.9,2013-03-15,2
spring-fever,https://www.metacritic.com/movie/spring-fever,Spring Fever,Drama,47,,2010-08-06,0
spring-forward,https://www.metacritic.com/movie/spring-forward,Spring Forward,Drama,79,7.5,2000-12-01,2
spring-summer-fall-winter-and-spring,https://www.metacritic.com/movie/spring-summer-fall-winter-and-spring,"Spring, Summer, Fall, Winter... and Spring",Drama,85,8.4,2004-04-02,2
springtime-in-a-small-town,https://www.metacritic.com/movie/springtime-in-a-small-town,Springtime in a Small Town,"Drama,Romance",86,,2004-05-14,1
spun,https://www.metacritic.com/movie/spun,Spun,"Drama,Comedy,Crime",41,8.7,2003-03-14,3
sputnik,https://www.metacritic.com/movie/sputnik,Sputnik,"Sci-Fi,Horror",61,6.4,2020-08-14,0
spy,https://www.metacritic.com/movie/spy,Spy,"Action,Comedy,Crime",75,4.9,2015-06-05,2
spy-game,https://www.metacritic.com/movie/spy-game,Spy Game,"Action,Thriller,Crime",63,7.4,2001-11-21,2
spy-kids,https://www.metacritic.com/movie/spy-kids,Spy Kids,"Action,Adventure,Sci-Fi,Comedy,Family",71,7.9,2001-03-30,1
spy-kids-2-island-of-lost-dreams,https://www.metacritic.com/movie/spy-kids-2-island-of-lost-dreams,Spy Kids 2: Island of Lost Dreams,"Action,Adventure,Sci-Fi,Comedy,Family",66,6.7,2002-08-07,1
spy-kids-3-d-game-over,https://www.metacritic.com/movie/spy-kids-3-d-game-over,Spy Kids 3-D: Game Over,"Action,Adventure,Sci-Fi,Comedy,Family",57,5.4,2003-07-25,3
spy-kids-all-the-time-in-the-world,https://www.metacritic.com/movie/spy-kids-all-the-time-in-the-world,Spy Kids: All the Time in the World,"Action,Adventure,Sci-Fi,Comedy,Family",37,2.9,2011-08-19,1
spynextdoor,https://www.metacritic.com/movie/spynextdoor,The Spy Next Door,"Action,Comedy,Family",27,3.0,2010-01-15,1
square-grouper,https://www.metacritic.com/movie/square-grouper,Square Grouper,Documentary,55,,2011-04-15,2
st-trinians,https://www.metacritic.com/movie/st-trinians,St. Trinian's,Comedy,39,5.8,2009-08-28,1
st-vincent,https://www.metacritic.com/movie/st-vincent,St. Vincent,"Drama,Comedy",64,7.5,2014-10-10,1
stage-beauty,https://www.metacritic.com/movie/stage-beauty,Stage Beauty,Drama,64,8.6,2004-10-08,2
stage-fright,https://www.metacritic.com/movie/stage-fright,Stage Fright,"Horror,Musical",39,8.1,2014-05-09,2
stage-mother,https://www.metacritic.com/movie/stage-mother,Stage Mother,"Drama,Comedy,Music",41,,2020-08-21,2
stagedoor,https://www.metacritic.com/movie/stagedoor,Stagedoor,Documentary,49,,2006-05-24,0
stake-land,https://www.metacritic.com/movie/stake-land,Stake Land,Horror,66,7.1,2011-04-22,1
stalingrad,https://www.metacritic.com/movie/stalingrad,Stalingrad,"Action,War",49,4.5,2014-02-28,2
